code,name,chapter,description,inclusions,source_datasets
A04,Other bacterial intestinal infections,Chapter I Infectious and parasitic diseases,Bacterial infections affecting the intestinal tract.,,National Scotland
A08,Viral and other specified intestinal infections,Chapter I Infectious and parasitic diseases,influenza with involvement of gastrointestinal tract,,National Scotland
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Chapter I Infectious and parasitic diseases,"An infectious illness affecting the stomach or intestines, causing symptoms such as diarrhoea and inflammation, where the exact cause is unknown or not specified.",,National Scotland
A41,Other sepsis,Chapter I Infectious and parasitic diseases,A severe bloodstream infection caused by bacteria that affect the whole body.,,National Scotland
A49,Other bacterial diseases,Chapter I Infectious and parasitic diseases,,,National Scotland
B182,Chronic viral hepatitis C,Chapter I Infectious and parasitic diseases,,,Tayside and Fife
B34,viral infection of unspecified site,Chapter I Infectious and parasitic diseases,General or unnamed viral illnesses (such as an unspecified systemic viral syndrome) where the virus affects the body but the exact organ system or localized site is not identified,,National Scotland
B37,Candidiasis,Chapter I Infectious and parasitic diseases,"Fungal or yeast infection caused by species of the genus Candida (most commonly Candida albicans). It includes conditions like oral thrush, cutaneous diaper rashes, or vaginal yeast infections.",candidosis | moniliasis,National Scotland
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapter,Chapter I Infectious and parasitic diseases,"This code is never used alone as a primary diagnosis. It is a supplementary ""organism"" code added to a primary condition (like a urinary tract infection or a wound infection) to explicitly identify that a Strep, Staph, or Enterococcus bacterium caused it",,National Scotland
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,Chapter I Infectious and parasitic diseases,"Similar to B95, this is a non-primary secondary code used to log the specific bacterial cause of a localized infection. It covers subcategories for bacteria like E. coli, Klebsiella pneumoniae, or Pseudomonas.",,National Scotland
C01,Malignant neoplasm of base of tongue,Chapter II: Neoplasms,"Primary, invasive malignant tumor located specifically at the very back (posterior third) of the tongue, where it connects to the throat.",Dorsal surface of base of tongue | Fixed part of tongue NOS | Posterior third of tongue,National Scotland
C02,Malignant neoplasm of other and unspecified parts of tongue,Chapter II: Neoplasms,"Dorsal surface of tongue
Anterior two-thirds of tongue, dorsal surface",,National Scotland
C021,Malignant neoplasm of border of tongue,Chapter II: Neoplasms,Cancer originating in the sides (lateral margins) or tip of the tongue,Tip of tongue,Tayside and Fife
C029,"Malignant neoplasm of tongue, unspecified. [1]",Chapter II: Neoplasms,Tongue cancer where the specific sub-site or margin is not documented in the medical records,,Tayside and Fife
C04,Malignant neoplasm of floor of mouth,Chapter II: Neoplasms,Cancer developing in the mucosal tissue located on the lower surface of the mouth beneath the tongue,,National Scotland
C07X,Malignant neoplasm of parotid gland,Chapter II: Neoplasms,"Cancer in the largest pair of salivary glands located just in front of the ears. The ""X"" acts as a structural placeholder for standard formatting",,Tayside and Fife
C09,Malignant neoplasm of tonsil,Chapter II: Neoplasms,Cancer originating within the tonsillar tissue of the throat,,National Scotland
C099,"Malignant neoplasm of tonsil, unspecified.",Chapter II: Neoplasms,Tonsillar cancer where the specific area (such as the tonsillar pillar or fossa) is not detailed.,Tonsil: NOS | Tonsil: faucial | Tonsil: palatine,Tayside and Fife
C10,Malignant neoplasm of oropharynx.,Chapter II: Neoplasms,"Cancer involving the middle section of the throat behind the mouth, which includes the back of the tongue and soft palate",,National Scotland
C109,"Malignant neoplasm of oropharynx, unspecified",Chapter II: Neoplasms,Oropharyngeal cancer where the exact local site cannot be isolated or is not specified,,Tayside and Fife
C12X,Malignant neoplasm of pyriform sinus,Chapter II: Neoplasms,Cancer located in the recess or hidden structural pouch on either side of the larynx (voice box entrance).,Piriform fossa,Tayside and Fife
C15,Malignant neoplasm of the esophagus,Chapter II: Neoplasms,The overarching baseline code for primary cancer of the muscular tube connecting the throat to the stomach,,National Scotland
C153,Malignant neoplasm of upper third of esophagus,Chapter II: Neoplasms,Cancer located specifically in the cervical/upper section of the esophagus closest to the throat.,,Tayside and Fife
C154,Malignant neoplasm of the middle third of the esophagus,Chapter II: Neoplasms,Cancer located in the thoracic or middle section of the esophagus behind the chest cavity.,,Tayside and Fife
C155,Malignant neoplasm of lower third of esophagus,Chapter II: Neoplasms,Cancer located in the abdominal or lower section of the esophagus just before it meets the stomach junction.,,Tayside and Fife
C159,"Malignant neoplasm of esophagus, unspecified",Chapter II: Neoplasms,"cancer of the gullet, where the specific location in the esophagus is not stated or known",,Tayside and Fife
C16,Malignant neoplasm of the stomach,Chapter II: Neoplasms,cancerous growth that originates in the tissues and inner lining of the stomach,,National Scotland
C160,Cardia (gastro-oesophageal junction),Chapter II: Neoplasms,"the primary cancerous tumor located at the very top section of the stomach, where it connects to the esophagus",Cardiac orifice | Cardio-oesophageal junction | Gastro-oesophageal junction | Oesophagus and stomach,Tayside and Fife
